Player,Country,Span,Matches,Innings,BallsBowled,RunsConceded,Wickets,BowlingAverage,EconomyRate,StrikeRate,5WicketsPerInnings
NG Cowans (Eng),England,1983-1985,23,23,1282,913,23,39.69,4.27,55.7,0
ND Hirwani (India),India,1988-1992,18,18,960,719,23,31.26,4.49,41.7,0
SR Gillespie (NZ),New Zealand,1986-1988,19,19,963,736,23,32,4.58,41.8,0
Aizaz Cheema (Pak),Pakistan,2011-2012,14,14,658,593,23,25.78,5.4,28.6,0
G Goudie (Scot),Scotland,2008-2012,15,15,675,548,23,23.82,4.87,29.3,1
WW Daniel (WI),West Indies,1978-1984,18,18,912,595,23,25.86,3.91,39.6,0
KM Dabengwa (Zim),Zimbabwe,2005-2010,37,35,1109,936,23,40.69,5.06,48.2,0
Shapoor Zadran (Afg),Afghanistan,2009-2012,16,16,761,600,22,27.27,4.73,34.5,0
SPD Smith (Aus),Australia,2010-2013,33,27,899,780,22,35.45,5.2,40.8,0
BP Julian (Aus),Australia,1993-1999,25,25,1146,997,22,45.31,5.21,52,0
Farhad Reza (Ban),Bangladesh,2006-2011,34,32,1139,1017,22,46.22,5.35,51.7,1
JC Tredwell (Eng),England,2010-2013,14,14,690,537,22,24.4,4.66,31.3,0
DR Brown (Eng/Scot),Scotland,1997-2007,25,25,953,919,22,41.77,5.78,43.3,0
DR Doshi (India),India,1980-1982,15,15,792,524,22,23.81,3.96,36,0
SK Sharma (India),India,1988-1990,23,22,979,813,22,36.95,4.98,44.5,1
WF Stelling (Neth),Netherlands,2006-2007,15,15,699,567,22,25.77,4.86,31.7,0
MW Pringle (SA),South Africa,1992-1994,17,17,870,604,22,27.45,4.16,39.5,0
BMAJ Mendis (SL),Sri Lanka,2010-2013,35,28,900,734,22,33.36,4.89,40.9,0
RN Lewis (WI),West Indies,1997-2009,28,25,1150,983,22,44.68,5.12,52.2,0
ML Nkala (Zim),Zimbabwe,1998-2006,50,46,1582,1570,22,71.36,5.95,71.9,0
Mohammad Nabi (Afg),Afghanistan,2009-2013,25,24,1140,813,21,38.71,4.27,54.2,0
MH Yardy (Eng),England,2006-2011,28,28,1332,1075,21,51.19,4.84,63.4,0
PP Ojha (India),India,2008-2012,18,17,876,652,21,31.04,4.46,41.7,0
E Otieno (Kenya),Kenya,2007-2013,24,23,882,860,21,40.95,5.85,42,0
AO Suji (Kenya),Kenya,1996-2008,60,46,1295,1175,21,55.95,5.44,61.6,0
